fips,DrugDeaths,DrugDeathRate,SuicideDeaths,SuicideRate,RepublicanMargin,RepublicanVoteShare,DemocratVoteShare,UnemploymentRate,PovertyRate,MedianIncome,PerCapitaIncome,BachelorsOrHigher,WhiteAlone,BlackAlone,HispanicLatino,Population,Rent,correlation,n_years,state_fips
21177,,,,,48.19,73.15,24.96,6.53,19.32,46789.0,38056.0,12.56,92.72,3.76,1.6,30888.0,,,,21
21179,20.4,46.12,14.5,,35.63,66.56,30.93,4.52,11.12,63884.33,49558.67,20.07,91.41,4.98,2.25,46158.5,,0.77,5.0,21
21181,,,0.0,,42.25,70.23,27.98,4.68,16.83,46404.5,37666.33,8.56,96.09,1.08,0.79,7364.17,,,,21
21183,,,,,55.81,76.88,21.07,5.57,16.23,50355.5,37443.67,13.88,95.67,1.02,3.44,23941.33,,,,21
21185,13.5,,11.2,,24.67,60.57,35.91,3.53,5.1,109226.17,72041.83,43.79,90.06,3.81,4.01,66904.83,,0.17,4.0,21
21187,,,,,56.91,77.41,20.5,4.47,15.3,54408.33,37291.83,15.5,95.6,1.02,0.89,11000.33,,,,21
21189,,,0.0,,74.23,86.68,12.45,7.33,34.48,29691.67,41820.83,13.42,92.79,2.64,0.06,4253.83,,,,21
21191,16.0,,,,59.45,78.64,19.19,4.05,13.98,61208.0,45024.5,14.62,95.52,0.75,1.4,14596.67,,,,21
21193,22.8,104.15,0.0,,55.24,76.75,21.51,6.2,26.95,38275.83,40276.5,13.59,95.19,1.34,1.08,27416.67,,-0.74,5.0,21
21195,36.17,63.56,14.67,,61.42,79.98,18.56,6.07,25.02,39870.17,40883.33,14.57,96.97,0.83,0.97,58980.17,,-0.72,6.0,21
21197,13.33,,0.0,,47.45,72.56,25.11,5.23,22.52,41385.83,35330.0,15.8,95.85,0.26,1.69,12689.33,,,3.0,21
21199,24.17,45.29,14.17,,64.03,81.0,16.98,5.13,19.33,46037.5,43593.67,16.9,95.83,0.93,2.59,64715.17,,-0.9,6.0,21
21201,0.0,,0.0,,54.38,76.4,22.02,5.05,19.4,50305.33,37920.5,14.05,98.49,0.75,1.84,2169.17,,,3.0,21
21203,15.0,,,,70.01,84.28,14.27,5.17,22.25,43112.0,37747.33,11.85,97.69,0.12,1.0,16491.83,,,,21
21205,20.75,105.4,,,21.09,59.22,38.13,5.4,22.78,47743.33,35662.5,26.25,95.73,1.89,1.87,24549.33,,,4.0,21
21207,,,,,69.6,83.97,14.37,5.82,21.97,42011.33,45685.33,15.34,94.21,0.83,3.8,17889.17,,,,21
21209,21.5,45.5,11.0,,26.69,61.64,34.95,3.75,8.78,76471.83,50286.83,30.14,87.52,4.78,4.42,55830.67,1333.8,-0.79,6.0,21
21211,16.5,63.41,15.0,,30.97,64.0,33.03,3.78,9.62,74070.83,53324.0,27.71,84.77,6.05,9.6,47657.33,,-0.36,6.0,21
21213,10.0,,,,37.47,67.42,29.96,4.42,13.32,56376.5,41588.0,13.88,85.44,9.53,2.59,18839.5,,,,21
21215,,,,,54.69,76.17,21.49,4.05,7.35,89963.83,52045.5,21.4,95.75,1.62,2.45,19037.5,,,,21
21217,15.0,87.1,,,51.19,74.5,23.31,4.23,17.72,49633.67,38700.67,21.67,91.24,4.34,2.48,25783.83,,,4.0,21
21219,,,,,53.53,75.78,22.24,3.83,17.3,51819.83,44049.17,14.72,86.98,8.05,4.4,12294.67,,,,21
21221,0.0,,0.0,,49.92,73.95,24.03,5.03,14.83,52794.67,43727.5,19.1,89.29,7.15,2.33,14289.5,,,,21
21223,0.0,,,,50.8,74.13,23.34,4.67,13.2,61709.67,44521.33,13.88,94.58,0.22,3.26,8540.83,,,,21
21225,,,,,52.92,75.56,22.64,4.82,16.87,53309.5,44787.33,10.62,84.85,12.28,1.74,14133.0,,,,21
21227,28.5,20.83,23.0,18.95,19.27,58.01,38.74,4.23,16.33,57541.67,42694.17,32.21,80.38,8.81,5.48,131624.17,1058.65,-0.8,6.0,21
21229,,,,,45.74,71.75,26.01,4.03,13.78,56195.0,43140.17,19.52,89.04,5.81,2.17,12015.5,,,,21
21231,11.0,,,,61.95,80.18,18.23,5.7,25.53,37668.83,34661.5,13.67,93.74,1.36,3.35,20112.83,,,,21
21233,0.0,,0.0,,52.56,75.39,22.83,4.45,16.02,52833.17,44775.0,10.53,90.27,3.97,5.65,13023.33,,,,21
